symbol,bids,asks,timestamp,Mid_Price,Quoted_Spread,First_Layer_Liquidity
ETHBTC,"[['0.06257000', '18.43330000'], ['0.06157000', '24.33740000']]",[],1693386199290,,,
ETHBTC,"[['0.06254000', '44.28470000'], ['0.06157000', '24.33400000']]",[],1693386200290,,,
ETHBTC,"[['0.06257000', '16.82940000'], ['0.05631000', '0.87330000']]",[],1693386201290,,,
ETHBTC,"[['0.06257000', '16.51100000'], ['0.06250000', '96.23580000'], ['0.06241000', '12.81180000'], ['0.06157000', '24.33570000']]","[['0.06262000', '27.08450000'], ['0.06269000', '0.12740000']]",1693386202290,0.062595,4.999999999999449e-05,43.5955
ETHBTC,"[['0.06253000', '45.44600000'], ['0.06157000', '24.33400000']]","[['0.06261000', '46.88580000'], ['0.06263000', '41.70660000'], ['0.06265000', '7.11770000']]",1693386203290,0.06257,7.999999999999674e-05,92.3318
ETHBTC,"[['0.06193000', '5.38150000']]",[],1693386204290,,,
ETHBTC,"[['0.06241000', '65.90980000'], ['0.06157000', '24.33570000']]","[['0.06258000', '96.50310000'], ['0.06259000', '81.84830000'], ['0.06269000', '37.02940000']]",1693386205290,0.062494999999999995,0.00016999999999999654,162.4129
ETHBTC,"[['0.06235000', '4.05520000'], ['0.06157000', '24.33570000']]","[['0.06297000', '5.29800000']]",1693386206291,0.06266,0.0006199999999999956,9.353200000000001
ETHBTC,"[['0.06249000', '11.30980000'], ['0.06157000', '24.33400000']]",[],1693386207291,,,
ETHBTC,[],"[['0.06262000', '27.06830000']]",1693386208291,,,
ETHBTC,"[['0.06257000', '14.31150000']]",[],1693386209291,,,
ETHBTC,"[['0.06248000', '22.59920000']]",[],1693386210291,,,
ETHBTC,"[['0.06257000', '4.32380000'], ['0.06256000', '44.15190000'], ['0.06255000', '52.24350000'], ['0.06254000', '42.68200000'], ['0.06248000', '25.31330000'], ['0.06157000', '24.33400000']]",[],1693386211291,,,
ETHBTC,"[['0.06256000', '49.97370000'], ['0.06254000', '36.85890000']]",[],1693386213291,,,
ETHBTC,"[['0.06241000', '12.81180000'], ['0.06111000', '137.76180000']]","[['0.06269000', '0.12740000']]",1693386214291,0.06255,0.00027999999999999553,12.9392
ETHBTC,"[['0.06182000', '6.79300000'], ['0.06157000', '24.33400000']]",[],1693386215291,,,
ETHBTC,"[['0.06235000', '4.05520000'], ['0.06006000', '2.20370000']]","[['0.06297000', '5.29800000']]",1693386216291,0.06266,0.0006199999999999956,9.353200000000001
ETHBTC,"[['0.06241000', '65.90980000'], ['0.06007000', '3.24330000'], ['0.05631000', '0.87330000']]","[['0.06269000', '37.02940000']]",1693386217291,0.06255,0.00027999999999999553,102.9392
ETHBTC,"[['0.06255000', '46.42170000'], ['0.06254000', '42.68200000']]","[['0.06324000', '12.90890000']]",1693386218291,0.062895,0.00069000000000001,59.330600000000004
ETHBTC,"[['0.06257000', '7.52380000'], ['0.06256000', '46.85130000'], ['0.06157000', '24.33570000']]",[],1693386220291,,,
ETHBTC,"[['0.06157000', '24.33400000']]",[],1693386221291,,,
ETHBTC,"[['0.06112000', '2.69870000']]",[],1693386222291,,,
ETHBTC,"[['0.06257000', '7.50990000'], ['0.06157000', '24.33740000']]",[],1693386224291,,,
ETHBTC,"[['0.06257000', '13.14920000'], ['0.06256000', '41.33890000'], ['0.06157000', '24.33400000']]",[],1693386225291,,,
ETHBTC,"[['0.06255000', '48.72170000'], ['0.06254000', '43.46550000'], ['0.06253000', '19.77570000'], ['0.06252000', '51.50520000'], ['0.06250000', '100.83580000'], ['0.06248000', '29.91330000'], ['0.06246000', '67.50960000'], ['0.06241000', '12.81180000'], ['0.06235000', '4.05520000']]","[['0.06258000', '88.66470000'], ['0.06259000', '57.24050000'], ['0.06269000', '0.12740000'], ['0.06297000', '5.29800000']]",1693386226291,0.062565,3.0000000000002247e-05,137.38639999999998
ETHBTC,"[['0.06157000', '24.33570000']]",[],1693386227291,,,
ETHBTC,"[['0.06238000', '5.53800000'], ['0.06157000', '24.33570000']]","[['0.06259000', '91.52400000'], ['0.06313000', '2.24920000']]",1693386228292,0.062485,0.0002100000000000088,97.062
ETHBTC,"[['0.06241000', '65.90980000'], ['0.06238000', '8.53800000'], ['0.06157000', '24.33400000']]","[['0.06269000', '37.02940000'], ['0.06313000', '3.24920000']]",1693386229292,0.06255,0.00027999999999999553,102.9392
ETHBTC,"[['0.06253000', '44.39310000'], ['0.06252000', '26.92230000'], ['0.06112000', '2.73800000']]",[],1693386230292,,,
ETHBTC,"[['0.06257000', '22.36540000'], ['0.06256000', '35.52800000']]","[['0.06259000', '57.24050000']]",1693386231292,0.06258,2.0000000000006124e-05,79.60589999999999
ETHBTC,"[['0.05631000', '0.87330000']]","[['0.06259000', '91.52400000']]",1693386232292,0.05945,0.006280000000000008,92.3973
ETHBTC,[],"[['0.06259000', '57.24050000'], ['0.06260000', '65.64750000']]",1693386235292,,,
